model,tourType,variable,alternative,units,latentClass,value
modeChoice,mandatory,shortWalkDist,car,util/sec,othmaint,0
modeChoice,mandatory,shortWalkDist,car,util/sec,social,0
modeChoice,mandatory,shortWalkDist,car,util/sec,othdiscr,0
modeChoice,mandatory,shortWalkDist,car,util/sec,atwork,0
modeChoice,mandatory,shortWalkDist,car,util/sec,Nonwork,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,work,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,Work,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,univ,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,school,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,escort,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,shopping,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,eatout,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,othmaint,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,social,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,othdiscr,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,atwork,0
modeChoice,mandatory,shortWalkDist,drive_transit,util/sec,Nonwork,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,work,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,Work,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,univ,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,school,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,escort,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,shopping,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,eatout,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,othmaint,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,social,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,othdiscr,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,atwork,0
modeChoice,mandatory,shortWalkDist,ride_hail,util/sec,Nonwork,0
modeChoice,mandatory,shortWalkDist,walk,util/sec,work,-0.88
modeChoice,mandatory,shortWalkDist,walk,util/sec,Work,-0.88
modeChoice,mandatory,shortWalkDist,walk,util/sec,univ,-1.084
modeChoice,mandatory,shortWalkDist,walk,util/sec,school,-1.084
modeChoice,mandatory,shortWalkDist,walk,util/sec,escort,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,shopping,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,eatout,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,othmaint,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,social,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,othdiscr,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,atwork,-1.116
modeChoice,mandatory,shortWalkDist,walk,util/sec,Nonwork,-1.116
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,work,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,Work,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,univ,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,school,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,escort,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,shopping,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,eatout,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,othmaint,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,social,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,othdiscr,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,atwork,0
modeChoice,mandatory,shortWalkDist,walk_transit,util/sec,Nonwork,0
modeChoice,mandatory,longWalkDist,bike,util/sec,work,0
modeChoice,mandatory,longWalkDist,bike,util/sec,Work,0
modeChoice,mandatory,longWalkDist,bike,util/sec,univ,0
modeChoice,mandatory,longWalkDist,bike,util/sec,school,0
modeChoice,mandatory,longWalkDist,bike,util/sec,escort,0
modeChoice,mandatory,longWalkDist,bike,util/sec,shopping,0
modeChoice,mandatory,longWalkDist,bike,util/sec,eatout,0
