iteration,primary_purpose,autoWorkRatio,mode,tripTotals,tripPercents
2,school,auto_sufficient,walk,9826,16.043496718153023
2,school,auto_sufficient,walk_transit,1744,2.8475329001077623
2,school,no_auto,bike,25,0.12794922974563694
2,school,no_auto,bike_transit,753,3.8538307999385846
2,school,no_auto,hov2,2174,11.126465018680587
2,school,no_auto,hov3,221,1.1310711909514306
2,school,no_auto,walk,9347,47.837658017298736
2,school,no_auto,walk_transit,7019,35.923025743385026
2,shopping,auto_deficient,bike,204,7.354001441961067
2,shopping,auto_deficient,bike_transit,44,1.5861571737563085
2,shopping,auto_deficient,car,859,30.9661139149243
2,shopping,auto_deficient,drive_transit,3,0.10814708002883922
2,shopping,auto_deficient,hov2,250,9.012256669069934
2,shopping,auto_deficient,hov3,254,9.156452775775053
2,shopping,auto_deficient,ride_hail,27,0.9733237202595529
2,shopping,auto_deficient,ride_hail_pooled,17,0.6128334534967556
2,shopping,auto_deficient,walk,857,30.894015861571738
2,shopping,auto_deficient,walk_transit,259,9.336697909156452
2,shopping,auto_sufficient,bike,1311,2.5259142229586526
2,shopping,auto_sufficient,bike_transit,455,0.8766521521328658
2,shopping,auto_sufficient,car,30362,58.49870910562214
2,shopping,auto_sufficient,drive_transit,19,0.03660745250664714
2,shopping,auto_sufficient,hov2,4329,8.340719047435552
2,shopping,auto_sufficient,hov3,6533,12.58718353820662
2,shopping,auto_sufficient,ride_hail,194,0.373781357173134
2,shopping,auto_sufficient,ride_hail_pooled,146,0.2812993718931833
2,shopping,auto_sufficient,walk,6758,13.020692844206389
2,shopping,auto_sufficient,walk_transit,1795,3.4584409078648224
2,shopping,no_auto,bike,906,6.335221313194881
2,shopping,no_auto,bike_transit,620,4.335361163554996
2,shopping,no_auto,hov2,1376,9.621704775889798
2,shopping,no_auto,hov3,318,2.223620725823369
2,shopping,no_auto,ride_hail,56,0.39158100832109644
2,shopping,no_auto,ride_hail_pooled,56,0.39158100832109644
2,shopping,no_auto,walk,5686,39.759457380602754
2,shopping,no_auto,walk_transit,5283,36.94147262429201
2,social,auto_deficient,bike,51,7.093184979137692
2,social,auto_deficient,bike_transit,16,2.2253129346314324
2,social,auto_deficient,car,180,25.034770514603615
2,social,auto_deficient,hov2,64,8.90125173852573
2,social,auto_deficient,hov3,124,17.2461752433936
2,social,auto_deficient,ride_hail,7,0.9735744089012517
2,social,auto_deficient,ride_hail_pooled,3,0.4172461752433936
2,social,auto_deficient,walk,211,29.346314325452017
2,social,auto_deficient,walk_transit,63,8.762169680111267
2,social,auto_sufficient,bike,365,2.8466697863047887
2,social,auto_sufficient,bike_transit,120,0.9358914365933552
2,social,auto_sufficient,car,6712,52.34752768678833
2,social,auto_sufficient,drive_transit,7,0.05459366713461239
2,social,auto_sufficient,hov2,912,7.1127749181094995
2,social,auto_sufficient,hov3,2137,16.666666666666664
2,social,auto_sufficient,ride_hail,49,0.3821556699422867
2,social,auto_sufficient,ride_hail_pooled,9,0.07019185774450164
2,social,auto_sufficient,walk,2149,16.760255810326
2,social,auto_sufficient,walk_transit,362,2.8232725003899546
2,social,no_auto,bike,265,7.110276361685002
2,social,no_auto,bike_transit,170,4.561309364099812
